trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
TPUJ-4A-BP05_CONT,00:00:00,00:00:00,BATS_TPUJ_01,1,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:08:00,00:08:30,BATS_TPUJ_02,2,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:11:00,00:12:00,BATS_TPUJ_03,3,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:13:00,00:13:30,BATS_TPUJ_04,4,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:15:00,00:15:30,BATS_TPUJ_05,5,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:16:30,00:17:00,BATS_TPUJ_06,6,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:18:00,00:18:30,BATS_TPUJ_07,7,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:20:30,00:22:00,BATS_TPUJ_08,8,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:23:00,00:23:30,BATS_TPUJ_09,9,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:24:30,00:25:00,BATS_TPUJ_10,10,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:26:00,00:27:00,BATS_TPUJ_11,11,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:28:00,00:28:30,BATS_TPUJ_12,12,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:29:30,00:30:00,BATS_TPUJ_13,13,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:31:00,00:31:30,BATS_TPUJ_14,14,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:34:00,00:35:00,BATS_TPUJ_15,15,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:36:00,00:37:00,BATS_TPUJ_16,16,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:38:00,00:38:30,BATS_TPUJ_17,17,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:40:00,00:41:00,BATS_TPUJ_18,18,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:42:00,00:42:30,BATS_TPUJ_19,19,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:44:00,00:45:00,BATS_TPUJ_20,20,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:46:00,00:46:30,BATS_TPUJ_21,21,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:48:00,00:48:30,BATS_TPUJ_22,22,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:49:30,00:51:00,BATS_TPUJ_23,23,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:52:00,00:52:30,BATS_TPUJ_24,24,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:53:30,00:55:00,BATS_TPUJ_25,25,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,00:56:00,01:05:00,BATS_TPUJ_26,26,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:06:00,01:07:00,BATS_TPUJ_11,27,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:08:30,01:09:00,BATS_TPUJ_27,28,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:10:00,01:10:30,BATS_TPUJ_28,29,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:12:00,01:14:00,BATS_TPUJ_29,30,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:16:00,01:16:30,BATS_TPUJ_07,31,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:17:30,01:18:00,BATS_TPUJ_06,32,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:19:00,01:19:30,BATS_TPUJ_05,33,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:20:30,01:21:00,BATS_TPUJ_04,34,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:22:00,01:23:00,BATS_TPUJ_03,35,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:24:00,01:24:30,BATS_TPUJ_02,36,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:27:00,01:27:30,BATS_TPUJ_30,37,,0,0,0,0,,0
TPUJ-4A-BP05_CONT,01:35:00,01:35:00,BATS_TPUJ_01,38,,0,0,0,0,,0
