shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
TPUJ_4A_BP05,13.789923,121.062052,1
TPUJ_4A_BP05,13.789773,121.061984,2
TPUJ_4A_BP05,13.789598,121.061905,3
TPUJ_4A_BP05,13.789491,121.062104,4
TPUJ_4A_BP05,13.789425,121.062226,5
TPUJ_4A_BP05,13.78947,121.062246,6
TPUJ_4A_BP05,13.789538,121.062278,7
TPUJ_4A_BP05,13.789678,121.062342,8
TPUJ_4A_BP05,13.789818,121.062406,9
TPUJ_4A_BP05,13.789947,121.062464,10
TPUJ_4A_BP05,13.789993,121.06236,11
TPUJ_4A_BP05,13.790036,121.062267,12
TPUJ_4A_BP05,13.790103,121.062134,13
TPUJ_4A_BP05,13.79029,121.062229,14
TPUJ_4A_BP05,13.790343,121.062256,15
TPUJ_4A_BP05,13.790376,121.062272,16
TPUJ_4A_BP05,13.790577,121.062374,17
TPUJ_4A_BP05,13.790848,121.061841,18
TPUJ_4A_BP05,13.790967,121.06161,19
TPUJ_4A_BP05,13.791083,121.061361,20
TPUJ_4A_BP05,13.791289,121.061464,21
TPUJ_4A_BP05,13.791457,121.061541,22
TPUJ_4A_BP05,13.792298,121.061963,23
TPUJ_4A_BP05,13.792625,121.062143,24
TPUJ_4A_BP05,13.793077,121.062389,25
TPUJ_4A_BP05,13.793207,121.06246,26
TPUJ_4A_BP05,13.793281,121.062494,27
TPUJ_4A_BP05,13.79381,121.062747,28
TPUJ_4A_BP05,13.793956,121.062821,29
TPUJ_4A_BP05,13.794128,121.062915,30
TPUJ_4A_BP05,13.794266,121.062994,31
TPUJ_4A_BP05,13.794335,121.063049,32
TPUJ_4A_BP05,13.794392,121.063098,33
TPUJ_4A_BP05,13.794432,121.063136,34
TPUJ_4A_BP05,13.794718,121.063477,35
TPUJ_4A_BP05,13.794787,121.063539,36
TPUJ_4A_BP05,13.79486,121.063592,37
TPUJ_4A_BP05,13.794939,121.063648,38
TPUJ_4A_BP05,13.79501,121.063681,39
TPUJ_4A_BP05,13.795125,121.063742,40
TPUJ_4A_BP05,13.795206,121.063783,41
TPUJ_4A_BP05,13.795786,121.064113,42
TPUJ_4A_BP05,13.79585,121.064148,43
TPUJ_4A_BP05,13.795933,121.064195,44
TPUJ_4A_BP05,13.796086,121.064281,45
TPUJ_4A_BP05,13.79628,121.064412,46
TPUJ_4A_BP05,13.796424,121.064527,47
TPUJ_4A_BP05,13.796519,121.064623,48
TPUJ_4A_BP05,13.796646,121.064764,49
TPUJ_4A_BP05,13.796768,121.064946,50
TPUJ_4A_BP05,13.79686,121.065113,51
TPUJ_4A_BP05,13.79691,121.065243,52
TPUJ_4A_BP05,13.796929,121.065319,53
TPUJ_4A_BP05,13.796933,121.065338,54
TPUJ_4A_BP05,13.796957,121.06547,55
TPUJ_4A_BP05,13.796966,121.065586,56
TPUJ_4A_BP05,13.796975,121.06572,57
TPUJ_4A_BP05,13.797002,121.06602,58
TPUJ_4A_BP05,13.797004,121.06614,59
TPUJ_4A_BP05,13.797007,121.066406,60
TPUJ_4A_BP05,13.79703,121.066656,61
TPUJ_4A_BP05,13.797036,121.066901,62
TPUJ_4A_BP05,13.797047,121.067243,63
TPUJ_4A_BP05,13.797061,121.067505,64
TPUJ_4A_BP05,13.797063,121.06758,65
TPUJ_4A_BP05,13.797093,121.067932,66
TPUJ_4A_BP05,13.79712,121.068112,67
TPUJ_4A_BP05,13.797113,121.068294,68
TPUJ_4A_BP05,13.797209,121.068797,69
TPUJ_4A_BP05,13.797225,121.068884,70
TPUJ_4A_BP05,13.797279,121.069294,71
TPUJ_4A_BP05,13.797314,121.069643,72
TPUJ_4A_BP05,13.797347,121.069892,73
TPUJ_4A_BP05,13.797364,121.070005,74
TPUJ_4A_BP05,13.797423,121.070552,75
TPUJ_4A_BP05,13.79745,121.070813,76
TPUJ_4A_BP05,13.797456,121.070881,77
TPUJ_4A_BP05,13.797397,121.070807,78
TPUJ_4A_BP05,13.797256,121.070739,79
TPUJ_4A_BP05,13.797135,121.070698,80
TPUJ_4A_BP05,13.796926,121.070653,81
TPUJ_4A_BP05,13.796697,121.070623,82
TPUJ_4A_BP05,13.796543,121.070599,83
TPUJ_4A_BP05,13.795806,121.070505,84
TPUJ_4A_BP05,13.795422,121.070456,85
TPUJ_4A_BP05,13.794986,121.070413,86
TPUJ_4A_BP05,13.794801,121.070396,87
TPUJ_4A_BP05,13.794662,121.070382,88
TPUJ_4A_BP05,13.79449,121.070365,89
TPUJ_4A_BP05,13.794425,121.070395,90
TPUJ_4A_BP05,13.793983,121.070344,91
TPUJ_4A_BP05,13.793729,121.070309,92
TPUJ_4A_BP05,13.793543,121.070289,93
TPUJ_4A_BP05,13.793394,121.070279,94
TPUJ_4A_BP05,13.793054,121.070248,95
TPUJ_4A_BP05,13.792973,121.070238,96
TPUJ_4A_BP05,13.792781,121.070215,97
TPUJ_4A_BP05,13.79236,121.070175,98
TPUJ_4A_BP05,13.79229,121.070169,99
TPUJ_4A_BP05,13.792237,121.070164,100
TPUJ_4A_BP05,13.792152,121.070156,101
TPUJ_4A_BP05,13.792104,121.070152,102
TPUJ_4A_BP05,13.791889,121.070139,103
TPUJ_4A_BP05,13.791503,121.070103,104
TPUJ_4A_BP05,13.79132,121.070085,105
TPUJ_4A_BP05,13.791132,121.070067,106
TPUJ_4A_BP05,13.790954,121.070049,107
TPUJ_4A_BP05,13.790682,121.070024,108
TPUJ_4A_BP05,13.790559,121.070015,109
TPUJ_4A_BP05,13.790479,121.070007,110
TPUJ_4A_BP05,13.790384,121.069995,111
TPUJ_4A_BP05,13.790037,121.069942,112
TPUJ_4A_BP05,13.789664,121.069884,113
TPUJ_4A_BP05,13.789358,121.069821,114
TPUJ_4A_BP05,13.789053,121.069753,115
TPUJ_4A_BP05,13.788516,121.069645,116
TPUJ_4A_BP05,13.788248,121.069585,117
TPUJ_4A_BP05,13.788083,121.069547,118
TPUJ_4A_BP05,13.787955,121.069518,119
TPUJ_4A_BP05,13.787772,121.069476,120
TPUJ_4A_BP05,13.787718,121.069465,121
TPUJ_4A_BP05,13.78761,121.069439,122
TPUJ_4A_BP05,13.787531,121.069419,123
TPUJ_4A_BP05,13.787427,121.069394,124
TPUJ_4A_BP05,13.787306,121.069365,125
TPUJ_4A_BP05,13.787146,121.069326,126
TPUJ_4A_BP05,13.787011,121.069294,127
TPUJ_4A_BP05,13.786888,121.069264,128
